target_support,observed_target,residual
Native footprints,0.5547583103179932,-0.1059534326834516
Native footprints,0.0744755268096923,0.3140150068075282
Native footprints,0.4973926544189453,-0.0738336571603058
Native footprints,0.3070225715637207,0.2042546853215552
Native footprints,0.4774949550628662,0.0216202749916328
Native footprints,0.229992389678955,0.1878700976204504
Native footprints,0.4966559410095215,0.001765495732548
Native footprints,0.4117391109466553,0.1420928473935049
Native footprints,0.4299569129943847,0.0821399021949627
Native footprints,0.4333112239837646,0.0928177127876892
Native footprints,0.5205707550048828,0.023370124160898
Native footprints,0.5442807674407959,0.0114800577784953
Native footprints,0.4731318950653076,-0.010275386937761
Native footprints,0.3210172653198242,0.1906170414441624
Native footprints,0.2903027534484863,0.2829413074211229
Native footprints,0.5767269134521484,-0.0811492685662119
Native footprints,0.6882307529449463,-0.1467880573033885
Native footprints,0.641737699508667,-0.1235812816268984
Native footprints,0.4493489265441894,0.0737002403026673
Native footprints,0.5522787570953369,-0.0941153076656615
Native footprints,0.5982406139373779,-0.1724989192372078
Native footprints,0.5955090522766113,-0.1137307410406905
Native footprints,0.5403804779052734,-0.1355339003811181
Native footprints,0.0825965255498886,0.3146032337385461
Native footprints,0.4937210083007812,-0.1121154638138122
Native footprints,0.588939905166626,-0.17866853141396
Native footprints,0.3385913372039795,0.0667355398906957
Native footprints,0.4720053672790527,-0.0756579878900692
Native footprints,0.4239556789398193,-0.0546968517750118
Native footprints,0.3838939666748047,-0.0590239239844578
Native footprints,0.4936771392822265,-0.2369426427418687
Native footprints,0.4706583023071289,-0.1772534642244906
Native footprints,0.6241340637207031,-0.2952167809017613
Native footprints,0.2861137390136719,-0.0259850907439999
Native footprints,0.0458865165710449,0.2261233038309953
Native footprints,0.202566385269165,0.1209336472207646
Native footprints,0.5927057266235352,-0.3346059130641556
Native footprints,0.4523749351501465,-0.2681734650529018
Native footprints,0.1417930126190185,0.0623155372729513
Native footprints,0.3507242202758789,-0.1763753176586218
Native footprints,0.3424952030181885,-0.0900684028366776
Native footprints,0.1865694522857666,0.0143426883204551
Native footprints,0.2396204471588134,-0.0621085703389521
Native footprints,0.3676130771636963,-0.1036391489373736
Native footprints,0.3423810005187988,-0.1199843957159722
Native footprints,0.2989470958709717,-0.0955148702273482
Native footprints,0.364837646484375,-0.1618355371121675
